case_number,location,state
2010.02.06.a,Riviera Beach,FL
2010.02.03,"Stuart, Martin County",FL
2010.01.06,Elliot Key,FL
2009.12.06,"Adventure Aquarium, Camden",NJ
2009.11.25,"Huntington Beach, Orange County",CA
2009.11.24,"Lori Wilson Park, Cocoa Beach, Brevard County",FL
2009.11.16.b,"Loch Lomond, Marin County",CA
2009.11.16.a,"Jupiter, Palm Beach County",FL
2009.11.13,"Jupiter, Palm Beach County",FL
2009.11.11,"New Smyrna Beach, Volusia County",FL
2009.11.05,"Davenport, Santa Cruz County",CA
2009.10.24,"San Onofre, San Diego County ",CA
2009.10.19,"Kalama Park, Maui",HI
2009.10.09,"San Onofre State Beach, San Diego County",CA
2009.09.26,"Key Colony Beach, Monroe County",FL
2009.09.12,"Corolla, Currituck County",NC
2009.08.30,"Huntington Beach, Orange County",CA
2009.08.25,"Terramar Beach, Carlsbad, San Diego County",CA
2009.08.10,"Ponce, Volusia County",FL
2009.08.06,Kawa'a ,HI
2009.08.01,"Curlew Island, Breton Sound",LA
2009.07.24.b,South Padre Island,TX
2009.07.22.b,Holden Beach. Brunswick County,NC
2009.07.22.a,"Intracoastal Waterway,      St. Petersburg",FL
2009.07.11.a,"San Onofre, San Diego County ",CA
2009.07.05,"Daytona Beach, Volusia County",FL
2009.07.04,"Biscayne National Park, Miami",FL
2009.06.21,"Shell Beach, San Luis Obispo County",CA
2009.06.16,"Melbourne Beach, Brevard County",FL
2009.05.25,"Clearwater Beach, Pinellas County",FL
2009.05.17,"New Smyrna Beach, Volusia County",FL
2009.05.16.b,"New Smyrna Beach, Volusia County",FL
2009.05.16.a,"New Smyrna Beach, Volusia County",FL
2009.04.28,"St. Augustine, St. John's County",FL
2009.04.25.R,"San Onofre State Beach, San Diego County",CA
2009.04.21,"New Smyrna Beach, Volusia County",FL
2009.04.19,"Carlin Park, Jupiter Inlet",FL
2009.04.17.,"Walton Rocks, St Lucie County",FL
2009.04.11,Kona,HI
2009.04.06.a,San Diego County,CA
2009.04.03,"Sanibel Island, Lee County",FL
2009.03.18.a,"Ponce Inlet, Volusia County",FL
2009.03.17,Alenuihaha Channel,HI
2009.02.08,Quebradillas,
2008.12.20,"Dillon Beach, Marin County",CA
2008.10.08,"Santa Rosa Beach, Walton County",FL
2008.09.28.b,"New Smyrna Beach, Volusia County",FL
2008.09.28.a,Bethune Beach,FL
2008.09.14,"Ormond-by-the-Sea, Volusia County",FL
